,LR,DO,n_hidden,mean acc,std acc
1,0.05,0.05,64,0.8387499999999999,0.010330476755697171
2,0.1,0.05,64,0.810475,0.018640580731297002
3,0.15000000000000002,0.05,64,0.767675,0.02835308625176456
4,0.2,0.05,64,0.40067499999999995,0.10051158515315534
5,0.25,0.05,64,0.48045,0.16548817178275915
6,0.3,0.05,64,0.539375,0.19587823066895413
7,0.35000000000000003,0.05,64,0.24979999999999997,0.10019607651999154
8,0.4,0.05,64,0.12040000000000002,0.0301483208487637
9,0.45,0.05,64,0.221075,0.1265170591264277
10,0.5,0.05,64,0.286825,0.1332857738095105
11,0.55,0.05,64,0.189,0.021616689154447307
12,0.6000000000000001,0.05,64,0.17420000000000002,0.14638936949109385
13,0.6500000000000001,0.05,64,0.188225,0.1410745237454304
14,0.7000000000000001,0.05,64,0.123225,0.05609553235329887
15,0.7500000000000001,0.05,64,0.151425,0.151753554324108
16,0.8,0.05,64,0.09355,0.05175728209633886
17,0.8500000000000001,0.05,64,0.08665,0.03073062397674346
18,0.9000000000000001,0.05,64,0.11274999999999999,0.03787867143921497
19,0.9500000000000001,0.05,64,0.110175,0.05566044376395143
20,1.0,0.05,64,0.20265,0.13979997764663626
21,0.05,0.1,64,0.843525,0.008020052992343657
22,0.1,0.1,64,0.8183,0.01925399309234321
23,0.15000000000000002,0.1,64,0.784775,0.01988991578664925
24,0.2,0.1,64,0.54575,0.19778877622352586
25,0.25,0.1,64,0.299875,0.12247466574765575
26,0.3,0.1,64,0.28335,0.1355095337974417
27,0.35000000000000003,0.1,64,0.278725,0.10690347281543289
28,0.4,0.1,64,0.20434999999999998,0.1315646799106812
29,0.45,0.1,64,0.25335,0.1623133042914228
30,0.5,0.1,64,0.22489999999999996,0.1202267493114573
31,0.55,0.1,64,0.14057499999999998,0.04410219665730948
32,0.6000000000000001,0.1,64,0.17477499999999999,0.14299697112176887
33,0.6500000000000001,0.1,64,0.19095,0.13347636963148196
34,0.7000000000000001,0.1,64,0.19995,0.13838719684277154
35,0.7500000000000001,0.1,64,0.085475,0.031795086098326576
36,0.8,0.1,64,0.13135000000000002,0.06155279238182456
37,0.8500000000000001,0.1,64,0.137525,0.060407542989265844
38,0.9000000000000001,0.1,64,0.265325,0.158999815251465
39,0.9500000000000001,0.1,64,0.09259999999999999,0.023278665124959377
40,1.0,0.1,64,0.196475,0.13983611836718007
41,0.05,0.15000000000000002,64,0.8406750000000001,0.01206974523343388
