seed,model,hierarchy,f1-macro,accuracy
44,GCN,flat,0.8212152642248,0.8690660262525907
42,GCN,per-level,0.8334970542303936,0.8762213376320032
43,GCN,per-level,0.830517712582218,0.878228114616574
44,GCN,per-level,0.8352963957592602,0.8809421982432477
